,피부고민,정도,성분명,성분 설명
120,안티에이징,훌륭함,마트리카리아꽃추출물,마트리카리아꽃추출물은 진정 효과로 유명한 식물 추출물이며 항산화 효과 또한 제공한다. 데이지과 식물에 알러지가 있는 사람들은 이 성분을 피해야 할 수도 있다. 마트리카리아꽃추출물은 캐모마일의 한 종류에서 유래한 꽃 추출물이다. 이 성분은 피부에 진정 및 항산화 특성을 가진다.
121,안티에이징,훌륭함,마트리카리아오일,
122,안티에이징,훌륭함,망고스틴껍질추출물,Garcinia mangostana는 망고스틴의 라틴명이다. 망고스틴의 열매와 껍질은 건강한 피부를 만드는 여러 항산화물의 강력한 공급원이다.
123,안티에이징,훌륭함,망고스틴껍질추출물,독특한 피부 진정 항산화제로 다양한 피부 고민을 눈에 띄게 개선하는데 도움을 준다.
124,안티에이징,훌륭함,메도우스위트,피부를 진정시키는 항산화제. 과도한 유분기를 진정하는 데 도움을 준다.
125,안티에이징,훌륭함,메도우폼,"메도우폼으로 알려진 식물이다. 메도우폼씨오일은 비휘발성의 식물성 오일이며, 피부 연화제로 사용된다."
126,안티에이징,훌륭함,메도우폼씨오일,"무향의 식물성 오일로, 노화 방지제와 피부 연화제로 작용한다."
127,안티에이징,훌륭함,메라디메이트,"멘틸안트라닐레이트로도 알려진 합성 자외선 차단 성분이며, 부분적으로만 효과적인 UVA 자외선차단제이다."
128,안티에이징,훌륭함,멕소릴SX,UVA 광선으로부터 피부를 보호해주는 자외선 차단 성분이다.
129,안티에이징,훌륭함,멕시칸치아씨오일,"무향의 식물성 오일. 오메가 지방산, 항산화제의 잠재적인 공급원이다. 수분 공급 능력과 활성 산소로 인한 손상 방지 효과가 있어서 스킨 케어 제품에 우수한 첨가제이다."
130,안티에이징,훌륭함,멕시칸치아씨오일,
131,안티에이징,훌륭함,멜론추출물,"멜론추출물은 흔히 칸탈루프(Cantaloupe) 또는 허니듀멜론(Honeydew melon)으로 더 잘 알려져 있으며, 비타민 A 및 비타민 C의 풍부한 공급원이다."
132,안티에이징,훌륭함,무씨오일,불포화 지방산의 공급원인 인공 향이 첨가되지 않은 식물성 오일.
133,안티에이징,훌륭함,미리스토일트라이펩타이드-31,지방산 미리스틱애씨드에 트라이펩타이드-31을 결합해 만든 합성 펩타이드. 레티놀과 같은 효과가 있다고 알려져 있다.
134,안티에이징,훌륭함,미리스틸니코티네이트,니코틴산의 유도체. 비타민 B3(나이아신)의 성분. 나이아신아마이드와는 다르다.
135,안티에이징,훌륭함,미역,갈색 해조류. 피부에 다양한 수분 공급을 해주고 피부를 진정시키는 항산화 효과가 있다.
